2026-04
transactions_101-004-39183559-001 9;;;;;;;;;;;;;;;;;;;;
TICKET;TRANSACTION DATE;TRANSACTION TYPE;DETAILS;INSTRUMENT;PRICE;UNITS;DIRECTION;SPREAD COST;STOP LOSS;GUARANTEED STOP LOSS;TAKE PROFIT;TRAILING STOP;FINANCING;COMMISSION;GSL FEE;GSL PREMIUM;CONVERSION RATE;PL;AMOUNT;BALANCE
2026-04-28 17:09:03 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;19.00;Sell;;;;;;;;;;;;;;
2026-04-28 17:09:03 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4601.91000;19.00;Sell;2.9529;;;;;0.00000;0.0000;0.0000;;;0.00000;;101657.07;
2026-04-28 18:16:01 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;19.00;Buy;;;;;;;;;;;;;;
2026-04-28 18:16:01 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4586.92000;19.00;Buy;2.8855;;;;;0.00000;0.0000;0.0000;;0.7334;208.88700;;101865.96;
2026-04-28 18:47:39 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;17.00;Sell;;;;;;;;;;;;;;
2026-04-28 18:47:39 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4585.91000;17.00;Sell;3.5256;;;;;0.00000;0.0000;0.0000;;;0.00000;;101865.96;
2026-04-28 19:04:19 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;19.00;Sell;;;;;;;;;;;;;;
2026-04-28 19:04:19 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4587.55000;19.00;Sell;3.5874;;;;;0.00000;0.0000;0.0000;;;0.00000;;101865.96;
2026-04-28 19:11:45 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;36.00;Buy;;;;;;;;;;;;;;
2026-04-28 19:11:45 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4578.90000;36.00;Buy;9.1948;;;;;0.00000;0.0000;0.0000;;0.7329;207.79610;;102073.75;
2026-04-28 19:34:02 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;12.00;Sell;;;;;;;;;;;;;;
2026-04-28 19:34:02 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4576.57000;12.00;Sell;4.3107;;;;;0.00000;0.0000;0.0000;;;0.00000;;102073.75;
2026-04-28 21:18:21 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;22.00;Sell;;;;;;;;;;;;;;
2026-04-28 21:18:21 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4578.97000;22.00;Sell;4.3988;;;;;0.00000;0.0000;0.0000;;;0.00000;;102073.75;
2026-04-28 21:25:44 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;34.00;Buy;;;;;;;;;;;;;;
