transactions_101-004-39183559-001 9
TICKET;TRANSACTION DATE;TRANSACTION TYPE;DETAILS;INSTRUMENT;PRICE;UNITS;DIRECTION;SPREAD COST;STOP LOSS;GUARANTEED STOP LOSS;TAKE PROFIT;TRAILING STOP;FINANCING;COMMISSION;GSL FEE;GSL PREMIUM;CONVERSION RATE;PL;AMOUNT;BALANCE
254;2026-05-04 21:33:10 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;16.00;Sell;;;;;;;;;;;;;
255;2026-05-04 21:33:10 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4552.72000;16.00;Sell;3.7807;;;;;0.00000;0.0000;0.0000;;;0.00000;;102510.72
256;2026-05-04 21:34:10 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;15.00;Sell;;;;;;;;;;;;;
257;2026-05-04 21:34:10 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4554.58000;15.00;Sell;3.6553;;;;;0.00000;0.0000;0.0000;;;0.00000;;102510.72
258;2026-05-04 21:39:22 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;15.00;Sell;;;;;;;;;;;;;
259;2026-05-04 21:39:22 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4556.41000;15.00;Sell;3.3783;;;;;0.00000;0.0000;0.0000;;;0.00000;;102510.72
260;2026-05-04 22:29:22 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;46.00;Buy;;;;;;;;;;;;;
261;2026-05-04 22:29:22 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4547.30000;46.00;Buy;10.6950;;;;;0.00000;0.0000;0.0000;;0.7307;243.01240;;102753.73
262;2026-05-05 00:06:02 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;16.00;Sell;;;;;;;;;;;;;
263;2026-05-05 00:06:02 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4556.75000;16.00;Sell;2.7192;;;;;0.00000;0.0000;0.0000;;;0.00000;;102753.73
264;2026-05-05 00:06:38 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;16.00;Sell;;;;;;;;;;;;;
265;2026-05-05 00:06:38 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4561.30000;16.00;Sell;5.0239;;;;;0.00000;0.0000;0.0000;;;0.00000;;102753.73
266;2026-05-05 00:11:48 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;10.00;Sell;;;;;;;;;;;;;
267;2026-05-05 00:11:48 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4564.16000;10.00;Sell;2.2158;;;;;0.00000;0.0000;0.0000;;;0.00000;;102753.73
268;2026-05-05 00:25:31 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;42.00;Buy;;;;;;;;;;;;;
269;2026-05-05 00:25:31 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4573.45000;42.00;Buy;7.9057;;;;;0.00000;0.0000;0.0000;;0.7455;-413.40580;;102340.32
270;2026-05-05 00:49:03 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;18.00;Sell;;;;;;;;;;;;;
271;2026-05-05 00:49:03 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4563.74000;18.00;Sell;4.5857;;;;;0.00000;0.0000;0.0000;;;0.00000;;102340.32
272;2026-05-05 00:58:36 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;22.00;Sell;;;;;;;;;;;;;
273;2026-05-05 00:58:36 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4565.25000;22.00;Sell;4.5484;;;;;0.00000;0.0000;0.0000;;;0.00000;;102340.32
274;2026-05-05 01:01:04 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;20.00;Sell;;;;;;;;;;;;;
275;2026-05-05 01:01:04 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4567.55000;20.00;Sell;1.9195;;;;;0.00000;0.0000;0.0000;;;0.00000;;102340.32
276;2026-05-05 01:04:43 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;60.00;Buy;;;;;;;;;;;;;
277;2026-05-05 01:04:43 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4574.81000;60.00;Buy;12.4002;;;;;0.00000;0.0000;0.0000;;0.7455;-413.58250;;101926.74
278;2026-05-06 17:01:07 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;25.00;Buy;;;;;;;;;;;;;
279;2026-05-06 17:01:07 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4698.16000;25.00;Buy;5.1477;;;;;0.00000;0.0000;0.0000;;;0.00000;;101926.74
280;2026-05-06 17:18:29 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;36.00;Buy;;;;;;;;;;;;;
281;2026-05-06 17:18:29 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4697.56000;36.00;Buy;9.7947;;;;;0.00000;0.0000;0.0000;;;0.00000;;101926.74
282;2026-05-06 17:19:54 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;32.00;Buy;;;;;;;;;;;;;
283;2026-05-06 17:19:54 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4696.68000;32.00;Buy;8.1186;;;;;0.00000;0.0000;0.0000;;;0.00000;;101926.74
284;2026-05-06 17:31:02 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;93.00;Sell;;;;;;;;;;;;;
285;2026-05-06 17:31:02 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4700.77000;93.00;Sell;21.8863;;;;;0.00000;0.0000;0.0000;;0.7281;226.93370;;102153.67
286;2026-05-06 17:57:07 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;21.00;Buy;;;;;;;;;;;;;
287;2026-05-06 17:57:07 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4703.21000;21.00;Buy;3.7074;;;;;0.00000;0.0000;0.0000;;;0.00000;;102153.67
288;2026-05-06 17:58:23 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;20.00;Buy;;;;;;;;;;;;;
289;2026-05-06 17:58:23 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4701.69000;20.00;Buy;4.1929;;;;;0.00000;0.0000;0.0000;;;0.00000;;102153.67
290;2026-05-06 18:12:15 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;41.00;Sell;;;;;;;;;;;;;
291;2026-05-06 18:12:15 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4709.34000;41.00;Sell;7.8411;;;;;0.00000;0.0000;0.0000;;0.7282;205.15910;;102358.83
292;2026-05-06 19:38:29 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;14.00;Buy;;;;;;;;;;;;;
293;2026-05-06 19:38:29 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4741.67000;14.00;Buy;3.8551;;;;;0.00000;0.0000;0.0000;;;0.00000;;102358.83
294;2026-05-06 19:49:05 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;14.00;Buy;;;;;;;;;;;;;
295;2026-05-06 19:49:05 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4737.93000;14.00;Buy;4.0099;;;;;0.00000;0.0000;0.0000;;;0.00000;;102358.83
296;2026-05-06 20:01:24 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;28.00;Sell;;;;;;;;;;;;;
297;2026-05-06 20:01:24 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4750.64000;28.00;Sell;8.3252;;;;;0.00000;0.0000;0.0000;;0.7268;220.59920;;102579.43
298;2026-05-06 20:13:03 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;11.00;Buy;;;;;;;;;;;;;
299;2026-05-06 20:13:03 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4746.19000;11.00;Buy;2.6652;;;;;0.00000;0.0000;0.0000;;;0.00000;;102579.43
300;2026-05-06 20:15:02 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;10.00;Buy;;;;;;;;;;;;;
301;2026-05-06 20:15:02 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4743.10000;10.00;Buy;2.5695;;;;;0.00000;0.0000;0.0000;;;0.00000;;102579.43
302;2026-05-06 20:15:44 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;10.00;Buy;;;;;;;;;;;;;
303;2026-05-06 20:15:44 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4740.16000;10.00;Buy;2.7901;;;;;0.00000;0.0000;0.0000;;;0.00000;;102579.43
304;2026-05-06 21:02:54 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;31.00;Sell;;;;;;;;;;;;;
305;2026-05-06 21:02:54 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4725.11000;31.00;Sell;9.9017;;;;;0.00000;0.0000;0.0000;;0.7416;-417.00070;;102162.43
306;2026-05-06 21:11:06 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;12.00;Buy;;;;;;;;;;;;;
307;2026-05-06 21:11:06 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4736.37000;12.00;Buy;2.3347;;;;;0.00000;0.0000;0.0000;;;0.00000;;102162.43
308;2026-05-06 21:12:59 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;12.00;Buy;;;;;;;;;;;;;
309;2026-05-06 21:12:59 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4734.27000;12.00;Buy;2.5552;;;;;0.00000;0.0000;0.0000;;;0.00000;;102162.43
310;2026-05-06 21:16:35 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;14.00;Buy;;;;;;;;;;;;;
311;2026-05-06 21:16:35 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4732.22000;14.00;Buy;3.8031;;;;;0.00000;0.0000;0.0000;;;0.00000;;102162.43
312;2026-05-06 23:57:04 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;38.00;Sell;;;;;;;;;;;;;
313;2026-05-06 23:57:04 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4742.10000;38.00;Sell;7.1180;;;;;0.00000;0.0000;0.0000;;0.7272;218.92460;;102381.36
314;2026-05-07 00:21:06 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;15.00;Buy;;;;;;;;;;;;;
315;2026-05-07 00:21:06 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4742.90000;15.00;Buy;3.0831;;;;;0.00000;0.0000;0.0000;;;0.00000;;102381.36
316;2026-05-07 00:21:58 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;15.00;Buy;;;;;;;;;;;;;
317;2026-05-07 00:21:58 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4740.93000;15.00;Buy;3.4137;;;;;0.00000;0.0000;0.0000;;;0.00000;;102381.36
318;2026-05-07 00:22:46 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;15.00;Buy;;;;;;;;;;;;;
319;2026-05-07 00:22:46 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4737.42000;15.00;Buy;2.9184;;;;;0.00000;0.0000;0.0000;;;0.00000;;102381.36
320;2026-05-07 00:34:01 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;45.00;Sell;;;;;;;;;;;;;
321;2026-05-07 00:34:01 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4746.80000;45.00;Sell;12.3870;;;;;0.00000;0.0000;0.0000;;0.7267;208.74500;;102590.10
322;2026-05-07 00:58:03 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;14.00;Buy;;;;;;;;;;;;;
323;2026-05-07 00:58:03 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4746.29000;14.00;Buy;2.6718;;;;;0.00000;0.0000;0.0000;;;0.00000;;102590.10
324;2026-05-07 01:00:31 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;13.00;Buy;;;;;;;;;;;;;
325;2026-05-07 01:00:31 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4741.91000;13.00;Buy;2.6246;;;;;0.00000;0.0000;0.0000;;;0.00000;;102590.10
326;2026-05-07 01:01:32 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;11.00;Buy;;;;;;;;;;;;;
327;2026-05-07 01:01:32 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4740.17000;11.00;Buy;1.9382;;;;;0.00000;0.0000;0.0000;;;0.00000;;102590.10
328;2026-05-07 01:32:54 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;38.00;Sell;;;;;;;;;;;;;
329;2026-05-07 01:32:54 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4751.51000;38.00;Sell;6.8324;;;;;0.00000;0.0000;0.0000;;0.7265;234.39430;;102824.50
330;2026-05-07 01:43:28 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;8.00;Buy;;;;;;;;;;;;;
331;2026-05-07 01:43:28 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4751.09000;8.00;Buy;1.7319;;;;;0.00000;0.0000;0.0000;;;0.00000;;102824.50
332;2026-05-07 01:45:16 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;9.00;Buy;;;;;;;;;;;;;
333;2026-05-07 01:45:16 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4748.01000;9.00;Buy;1.6179;;;;;0.00000;0.0000;0.0000;;;0.00000;;102824.50
334;2026-05-07 01:45:51 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;9.00;Buy;;;;;;;;;;;;;
335;2026-05-07 01:45:51 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4745.21000;9.00;Buy;2.0804;;;;;0.00000;0.0000;0.0000;;;0.00000;;102824.50
336;2026-05-07 02:25:33 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;26.00;Sell;;;;;;;;;;;;;
337;2026-05-07 02:25:33 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4758.93000;26.00;Sell;5.6313;;;;;0.00000;0.0000;0.0000;;0.7269;206.77830;;103031.27
338;2026-05-07 02:37:06 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;11.00;Buy;;;;;;;;;;;;;
339;2026-05-07 02:37:06 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4752.63000;11.00;Buy;2.5850;;;;;0.00000;0.0000;0.0000;;;0.00000;;103031.27
